CMS Certification Number (CCN),Facility Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Urban,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Chain Name,Chain ID,Number of Facilities in Chain,Chain Average Overall 5-star Rating,Chain Average Health Inspection Rating,Chain Average Staffing Rating,Chain Average QM Rating,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2/3 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2/3 Number of Complaint Health Deficiencies,Rating Cycle 2/3 Health Deficiency Score,Rating Cycle 2/3 Number of Health Revisits,Rating Cycle 2/3 Health Revisit Score,Rating Cycle 2/3 Total Health Score,Total Weighted Health Survey Score,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date,EVS_Citation_Count,Dietary_Citation_Count,Overall_Rating,Health_Inspection_Rating,HOT_HOT_EVS,HOT_HOT_Dietary,Priority_Sort,Region
035234,Arizona State Veteran Home-Phx,4141 NORTH S HERRERA WAY,PHOENIX,AZ,85012,6022481550,060,Maricopa,Y,Government - State,200,96.0,,Medicare and Medicaid,N,ARIZONA DEPARTMENT OF VETERANS SERVICES,1996-01-08,,,,,,,,N,,Y,N,N,Resident,Yes,2,,1,,5,,5,,,2,5,,,,3.30390,0.93409,1.07926,2.01335,5.31724,4.57718,0.76307,0.04644,29.2,,54.8,,,26,1.14195,0.80883,1.87441,0.69452,0.55429,3.12322,2.76878,4.05565,1.14663,1.32483,6.52711,5.61866,2025-05-30,6,4,2,40,1,0,40,2023-07-21,26,4,23,180,1,0,180,75.000,,3,23296.00,1,4,"4141 NORTH S HERRERA WAY,PHOENIX,AZ,85012",33.5815,-111.99,,2026-07-01,0,0,,,No,No,3,Mountain West
035284,ARIZONA STATE VETERAN HOME-TUCSON,555 EAST AJO WAY,TUCSON,AZ,85713,5206382150,090,Pima,Y,Government - State,120,116.9,,Medicare and Medicaid,N,ARIZONA DEPARTMENT OF VETERANS SERVICES,2012-02-23,,,,,,,,N,,N,Y,N,Resident,Yes,3,,3,,4,,4,,,2,3,,,,3.09463,1.25122,0.70227,1.95350,5.04813,4.63164,0.53701,0.03750,,26,,26,,26,1.09861,0.77813,1.80326,0.66816,0.53325,3.00466,2.66369,3.94866,1.59652,0.89608,6.44126,5.90984,2024-01-05,6,3,3,36,1,0,36,2022-09-30,6,6,0,36,1,0,36,36.000,,0,0.00,0,0,"555 EAST AJO WAY,TUCSON,AZ,85713",32.1779,-110.96,,2026-07-01,0,0,,,No,No,3,Mountain West
035303,Arizona State Veteran Home - Yuma,6051 EAST 34TH STREET,YUMA,AZ,85365,9282478303,130,Yuma,Y,Government - State,80,73.0,,Medicare and Medicaid,N,ARIZONA DEPARTMENT OF VETERANS SERVICES,2023-06-22,,,,,,,,N,,Y,N,N,Resident,Yes,2,,2,,3,,3,,,2,4,,,,3.06562,1.41171,1.10220,2.51391,5.57952,4.99270,0.97750,0.07632,,26,,26,2,,1.00675,0.71307,1.65249,0.61229,0.48866,2.75344,2.44097,4.26853,1.96564,1.53469,7.76886,6.95178,2024-09-20,6,6,2,52,1,0,52,2023-06-22,2,0,2,8,0,0,8,41.000,,0,0.00,0,0,"6051 EAST 34TH STREET,YUMA,AZ,85365",32.6665,-114.52,,2026-07-01,0,0,,,No,No,3,Mountain West
045417,ARKANSAS VETERANS HOME AT FAYETTEVILLE,1179 NORTH COLLEGE AVENUE,FAYETTEVILLE,AR,72703,4794447001,710,Washington,Y,Government - State,90,56.8,,Medicare and Medicaid,N,STATE OF ARKANSAS,2007-03-01,,,,,,,,N,,N,N,N,Both,Yes,2,,2,,4,,4,,,2,4,,,,2.42247,1.03358,0.82670,1.86029,4.28275,3.52082,0.64353,0.03432,69.1,,63.6,,0,,1.01485,0.71881,1.66579,0.61722,0.49260,2.77560,2.46062,3.34608,1.42766,1.14190,5.91564,4.86320,2025-03-20,4,4,0,24,1,0,24,2024-01-26,15,15,0,136,1,0,136,52.000,,0,0.00,0,0,"1179 NORTH COLLEGE AVENUE,FAYETTEVILLE,AR,72703",36.0796,-94.157,,2026-07-01,0,0,,,No,No,3,Southeast
045462,ARKANSAS STATE VETERANS HOME AT NORTH LITTLE ROCK,2401 JOHN ASHLEY DRIVE,NORTH LITTLE ROCK,AR,72114,5016832382,590,Pulaski,Y,Government - State,96,87.7,,Medicare and Medicaid,N,STATE OF ARKANSAS,2017-04-27,,,,,,,,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,,2,4,,,,3.47702,1.11659,0.46680,1.58339,5.06041,4.43551,0.31220,0.05753,61.7,,62.5,,0,,1.01708,0.72039,1.66945,0.61858,0.49368,2.78171,2.46603,4.79217,1.53893,0.64336,6.97446,6.11319,2025-05-01,0,0,0,0,0,0,0,2024-02-23,11,11,3,80,1,0,80,20.000,,0,0.00,0,0,"2401 JOHN ASHLEY DRIVE,NORTH LITTLE ROCK,AR,72114",34.7786,-92.29,,2026-07-01,0,0,,,No,No,3,Southeast
065380,VETERANS COMMUNITY LIVING CENTER AT FITZSIMONS,1919 QUENTIN ST,AURORA,CO,80045,7208576400,000,Adams,Y,For profit - Individual,180,128.2,,Medicare and Medicaid,N,STATE OF COLORADO,2003-03-01,,,,,,,,N,,N,N,N,Both,Yes,3,,3,,4,,3,,5,,4,,,,2.58708,0.93970,1.14333,2.08304,4.67012,4.24248,0.94049,0.02719,94.0,,100.0,,,26,1.14821,0.81326,1.88468,0.69832,0.55733,3.14033,2.78396,3.15843,1.14723,1.39583,5.70149,5.17941,2024-11-21,8,8,1,56,1,0,56,2023-06-28,7,7,0,115,1,0,115,70.750,,1,34467.00,0,1,"1919 QUENTIN ST,AURORA,CO,80045",39.7458,-104.84,,2026-07-01,0,0,,,No,No,3,Mountain West
065386,COLORADO STATE VETERANS NURSING HOME - RIFLE,851 E 5TH ST,RIFLE,CO,81650,9706250842,220,Garfield,N,Government - State,89,62.9,,Medicare and Medicaid,N,STATE OF COLORADO,2006-06-01,,,,,,,,N,,Y,N,N,Both,Yes,2,,1,,3,,3,,,2,5,,,,2.50455,0.29901,1.31147,1.61048,4.11503,3.50092,0.79320,0.06363,48.7,,27.3,,0,,0.96764,0.68537,1.58829,0.58850,0.46968,2.64647,2.34614,3.62828,0.43317,1.89989,5.96134,5.07168,2024-11-22,11,9,3,209,1,0,209,2023-05-18,6,4,2,52,1,0,52,169.750,,1,32975.00,0,1,"851 E 5TH ST,RIFLE,CO,81650",39.5333,-107.77,,2026-07-01,0,0,,,No,No,3,Mountain West
065391,COLORADO VETERANS COMMUNITY LIVING CTR AT HOMELAKE,3749 SHERMAN AVE,MONTE VISTA,CO,81144,7198525118,520,Rio Grande,N,Government - State,60,35.8,,Medicare and Medicaid,N,STATE OF COLORADO,2007-12-01,,,,,,,,N,,N,N,N,Resident,Yes,5,,5,,2,,2,,,2,5,,,,3.19669,0.00000,1.87950,1.87950,5.07619,3.82591,1.35005,0.00603,23.7,,33.3,,2,,1.13360,0.80292,1.86070,0.68944,0.55023,3.10038,2.74854,3.95297,0.00000,2.32415,6.27712,4.73104,2024-10-17,2,2,0,8,1,0,8,2023-03-16,6,5,1,56,1,0,56,20.000,,0,0.00,0,0,"3749 SHERMAN AVE,MONTE VISTA,CO,81144",37.5744,-106.1,,2026-07-01,0,0,,,No,No,3,Mountain West
065394,BRUCE MCCANDLESS CO STATE VETERANS NURSING HOME,903 MOORE DR,FLORENCE,CO,81226,7197846331,210,Fremont,N,Government - State,105,60.8,,Medicare and Medicaid,N,STATE OF COLORADO,2008-10-01,,,,,,,,N,,Y,N,N,Both,Yes,1,,1,,1,,1,,,2,4,,,,1.91734,0.00000,1.85689,1.85689,3.77423,3.24053,1.55873,0.04829,60.0,,58.8,,,26,1.11117,0.78703,1.82389,0.67580,0.53935,3.03903,2.69416,2.41880,0.00000,2.34255,4.76134,4.08805,2026-01-29,5,5,1,145,1,0,145,2024-06-06,6,6,0,48,1,0,48,120.750,,1,81520.00,0,1,"903 MOORE DR,FLORENCE,CO,81226",38.3718,-105.12,,2026-07-01,0,0,,,No,No,3,Mountain West
06A190,SPANISH PEAKS VETERANS COMMUNITY LIVING CENTER,23500 US HIGHWAY 160,WALSENBURG,CO,81089,7197384540,270,Huerfano,N,Government - Hospital district,120,73.9,,Medicaid,N,Legal Business Name Not Available,1997-12-31,,,,,,,,N,,Y,N,N,Resident,Yes,3,,2,,3,,3,,,2,5,,,,2.89934,0.55517,1.22795,1.78312,4.68246,4.01167,1.01814,0.00000,44.3,,41.7,,0,,1.23751,0.87651,2.03126,0.75263,0.60067,3.38456,3.00047,3.28423,0.62887,1.39096,5.30405,4.54421,2024-12-05,6,6,0,32,1,0,32,2023-06-29,11,10,1,80,1,0,80,44.000,,0,0.00,0,0,"23500 US HIGHWAY 160,WALSENBURG,CO,81089",37.6018,-104.83,,2026-07-01,0,0,,,No,No,3,Mountain West
